"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260825,2026-08-25,090741,CME ,00,090 ,  329544,  183841,   58911,    7616,   55489,  114432,    5260,   27384,   99476,    3777,   13049,    5235,     445,  296861,  295152,   32683,   34392,  -30041,  -35942,   11793,       4,   12865,  -17687,   -8745,    1212,  -15593,     239,    -937,     189,     181,  -31123,  -29619,    1082,    -422,  100.0,   55.8,   17.9,    2.3,   16.8,   34.7,    1.6,    8.3,   30.2,    1.1,    4.0,    1.6,    0.1,   90.1,   89.6,    9.9,   10.4,    120,     10,      7,      4,     14,     24,      9,     21,     29,      9,     14,.,      5,     73,     74,    58.2,    30.8,    70.4,    47.7,    57.1,    30.8,    68.2,    47.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260818,2026-08-18,090741,CME ,00,090 ,  359585,  219783,   47118,    7612,   42624,  132119,   14005,   26172,  115069,    3538,   13986,    5046,     264,  327984,  324771,   31601,   34814,   -4519,   -8417,   12049,      32,   11350,   -3700,   -6833,    -339,   -3447,   -1075,     513,    1316,      15,   -4754,   -1643,     235,   -2876,  100.0,   61.1,   13.1,    2.1,   11.9,   36.7,    3.9,    7.3,   32.0,    1.0,    3.9,    1.4,    0.1,   91.2,   90.3,    8.8,    9.7,    130,      9,      7,      5,     15,     27,     11,     18,     37,     11,     15,.,      4,     74,     87,    61.8,    29.6,    73.3,    44.9,    58.7,    29.6,    68.8,    44.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260811,2026-08-11,090741,CME ,00,090 ,  364104,  228200,   35069,    7580,   31274,  135819,   20838,   26511,  118516,    4613,   13473,    3730,     249,  332738,  326414,   31366,   37690,    -979,   -3293,    4396,     -22,   -3927,    -696,    2915,    1725,   -8018,     615,    -415,      -3,       0,   -2402,    -813,    1423,    -166,  100.0,   62.7,    9.6,    2.1,    8.6,   37.3,    5.7,    7.3,   32.5,    1.3,    3.7,    1.0,    0.1,   91.4,   89.6,    8.6,   10.4,    124,     10,      5,      4,     12,     28,     11,     17,     36,     12,     15,.,.,     72,     81,    62.6,    28.2,    74.0,    43.4,    60.3,    28.2,    68.8,    42.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260804,2026-08-04,090741,CME ,00,090 ,  365083,  231493,   30673,    7602,   35201,  136515,   17923,   24786,  126534,    3998,   13888,    3733,     249,  335140,  327227,   29943,   37856,   -7364,   -5437,    -750,    -718,   -6076,   -5922,    7732,   -1605,   -2352,    -840,    -656,      48,       0,   -7600,   -2802,     236,   -4562,  100.0,   63.4,    8.4,    2.1,    9.6,   37.4,    4.9,    6.8,   34.7,    1.1,    3.8,    1.0,    0.1,   91.8,   89.6,    8.2,   10.4,    126,      9,      6,      4,     14,     28,     11,     16,     36,     13,     15,.,.,     72,     84,    62.8,    28.0,    74.5,    42.3,    60.6,    28.0,    69.3,    41.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260728,2026-07-28,090741,CME ,00,090 ,  372447,  236930,   31423,    8320,   41277,  142437,   10191,   26391,  128886,    4838,   14544,    3685,     249,  342740,  330029,   29707,   42418,    6848,    9508,    1414,    1019,   -1215,    1780,    1896,   -5224,   -1106,     291,    -517,     306,       0,    5758,    5600,    1090,    1248,  100.0,   63.6,    8.4,    2.2,   11.1,   38.2,    2.7,    7.1,   34.6,    1.3,    3.9,    1.0,    0.1,   92.0,   88.6,    8.0,   11.4,    134,     10,      6,      5,     14,     34,     11,     15,     39,     12,     14,.,.,     72,     92,    64.0,    27.9,    73.4,    41.6,    62.3,    27.9,    70.9,    41.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260721,2026-07-21,090741,CME ,00,090 ,  365599,  227422,   30009,    7301,   42492,  140657,    8295,   31615,  129992,    4547,   15061,    3379,     249,  336982,  324429,   28617,   41170,   -3193,   -1738,    -191,    1819,    1660,   -6662,    -426,   -2382,    3224,   -1125,     815,    -130,      -1,   -1378,   -3492,   -1815,     299,  100.0,   62.2,    8.2,    2.0,   11.6,   38.5,    2.3,    8.6,   35.6,    1.2,    4.1,    0.9,    0.1,   92.2,   88.7,    7.8,   11.3,    136,     10,      6,      5,     14,     32,     11,     17,     39,     11,     15,.,.,     74,     91,    61.8,    26.7,    72.0,    40.6,    60.8,    26.7,    70.0,    40.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260714,2026-07-14,090741,CME ,00,090 ,  368792,  229160,   30200,    5482,   40832,  147319,    8721,   33997,  126768,    5672,   14246,    3509,     250,  338360,  327921,   30432,   40871,    4945,    7201,     -20,     985,     670,   -1186,     578,   -4252,    2562,     337,     232,     926,       7,    5758,    4189,    -813,     756,  100.0,   62.1,    8.2,    1.5,   11.1,   39.9,    2.4,    9.2,   34.4,    1.5,    3.9,    1.0,    0.1,   91.7,   88.9,    8.3,   11.1,    138,      9,      6,      5,     13,     34,     11,     19,     40,     10,     14,.,.,     72,     94,    60.1,    24.5,    70.6,    39.6,    59.8,    24.5,    68.7,    39.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260707,2026-07-07,090741,CME ,00,090 ,  363847,  221959,   30220,    4497,   40162,  148505,    8143,   38249,  124206,    5335,   14014,    2583,     243,  332602,  323732,   31245,   40115,   17347,   21674,   -2823,    -420,  -10479,   16620,    1646,    1793,    -351,    -359,    1112,     305,       0,   14967,   14618,    2380,    2729,  100.0,   61.0,    8.3,    1.2,   11.0,   40.8,    2.2,   10.5,   34.1,    1.5,    3.9,    0.7,    0.1,   91.4,   89.0,    8.6,   11.0,    145,      9,      8,      5,     12,     38,     10,     19,     43,     11,     13,.,.,     70,    102,    58.6,    23.9,    69.3,    39.5,    58.3,    23.9,    67.7,    39.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260630,2026-06-30,090741,CME ,00,090 ,  346500,  200285,   33043,    4917,   50641,  131885,    6497,   36456,  124557,    5694,   12902,    2278,     243,  317635,  309114,   28865,   37386,    3640,   -1554,   -2646,    3510,   -1885,   -4509,     434,    3926,    8650,     308,     387,    -145,       0,    5126,    5602,   -1486,   -1962,  100.0,   57.8,    9.5,    1.4,   14.6,   38.1,    1.9,   10.5,   35.9,    1.6,    3.7,    0.7,    0.1,   91.7,   89.2,    8.3,   10.8,    139,     10,      7,      5,     12,     35,     11,     20,     39,     13,     12,      4,.,     73,     96,    59.2,    22.4,    69.9,    38.0,    58.8,    22.3,    69.5,    37.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260623,2026-06-23,090741,CME ,00,090 ,  342860,  201839,   35689,    1407,   52526,  136394,    6063,   32530,  115907,    5386,   12515,    2423,     243,  312509,  303512,   30351,   39348, -149608,   18827,    1324, -169529,   -1123,    -874,    -961,    1423,   19747,    -822,   -1006,    -568,       0, -153191, -151683,    3583,    2075,  100.0,   58.9,   10.4,    0.4,   15.3,   39.8,    1.8,    9.5,   33.8,    1.6,    3.7,    0.7,    0.1,   91.1,   88.5,    8.9,   11.5,    130,      9,      8,.,     12,     34,     11,     16,     37,     10,     11,.,.,     65,     89,    59.6,    24.2,    70.5,    39.4,    59.5,    24.2,    70.5,    39.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
